country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Tayside,1022,108,7,2020-04-18T00:00:00
Scotland,Lothian,1239,286,28,2020-04-18T00:00:00
Scotland,Greater Glasgow and Clyde,1905,593,65,2020-04-18T00:00:00
Scotland,Highland,193,59,6,2020-04-18T00:00:00
Scotland,Dumfries and Galloway,222,29,5,2020-04-18T00:00:00
Scotland,Borders,231,52,6,2020-04-18T00:00:00
Scotland,Grampian,432,84,15,2020-04-18T00:00:00
Scotland,Shetland,45,,,2020-04-18T00:00:00
Scotland,Forth Valley,451,77,,2020-04-18T00:00:00
Scotland,Orkney,5,,,2020-04-18T00:00:00
Scotland,Fife,514,119,6,2020-04-18T00:00:00
Scotland,Ayrshire and Arran,560,118,12,2020-04-18T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-18T00:00:00
Scotland,Lanarkshire,995,252,27,2020-04-18T00:00:00
Scotland,Golden Jubilee National Hospital,,10,,2020-04-18T00:00:00
