country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Lanarkshire,1076,240,22,2020-04-21T00:00:00
Scotland,Tayside,1084,98,7,2020-04-21T00:00:00
Scotland,Lothian,1426,322,29,2020-04-21T00:00:00
Scotland,Highland,201,68,5,2020-04-21T00:00:00
Scotland,Greater Glasgow and Clyde,2085,583,60,2020-04-21T00:00:00
Scotland,Dumfries and Galloway,231**,37,5,2020-04-21T00:00:00
Scotland,Borders,240,54,9,2020-04-21T00:00:00
Scotland,Grampian,519,91,10,2020-04-21T00:00:00
Scotland,Shetland,52,6,,2020-04-21T00:00:00
Scotland,Fife,561,138,6,2020-04-21T00:00:00
Scotland,Forth Valley,562,91,,2020-04-21T00:00:00
Scotland,Orkney,6,,,2020-04-21T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-21T00:00:00
Scotland,Ayrshire and Arran,623,121,10,2020-04-21T00:00:00
Scotland,Golden Jubilee National Hospital,,12,,2020-04-21T00:00:00
