country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Orkney,5.0,,,2020-04-12T00:00:00
Scotland,Eileanan Siar (Western Isles),6.0,,,2020-04-12T00:00:00
Scotland,Shetland,43.0,,,2020-04-12T00:00:00
Scotland,Highland,151.0,53,8,2020-04-12T00:00:00
Scotland,Dumfries and Galloway,186.0,43,9,2020-04-12T00:00:00
Scotland,Borders,199.0,50,8,2020-04-12T00:00:00
Scotland,Grampian,291.0,91,14,2020-04-12T00:00:00
Scotland,Forth Valley,337.0,91,9,2020-04-12T00:00:00
Scotland,Fife,379.0,122,9,2020-04-12T00:00:00
Scotland,Ayrshire and Arran,390.0,90,14,2020-04-12T00:00:00
Scotland,Lanarkshire,758.0,247,29,2020-04-12T00:00:00
Scotland,Tayside,803.0,113,8,2020-04-12T00:00:00
Scotland,Lothian,915.0,245,35,2020-04-12T00:00:00
Scotland,Greater Glasgow and Clyde,1449.0,597,74,2020-04-12T00:00:00
Scotland,Golden Jubilee National Hospital,,5,,2020-04-12T00:00:00
