country,cases,hospitalized,intensive_care,datetime
Scotland,,,,2020-04-30T00:00:00
Scotland,1349,95,,2020-04-30T00:00:00
Scotland,1374,263,8,2020-04-30T00:00:00
Scotland,1980,280,16,2020-04-30T00:00:00
Scotland,242,42,,2020-04-30T00:00:00
Scotland,246,21,,2020-04-30T00:00:00
Scotland,2759,548,43,2020-04-30T00:00:00
Scotland,279,43,,2020-04-30T00:00:00
Scotland,54,,,2020-04-30T00:00:00
Scotland,6,,,2020-04-30T00:00:00
Scotland,7,,,2020-04-30T00:00:00
Scotland,724,78,7,2020-04-30T00:00:00
Scotland,737,142,6,2020-04-30T00:00:00
Scotland,762,113,5,2020-04-30T00:00:00
Scotland,834,119,10,2020-04-30T00:00:00
