country,cases,intensive_care,datetime
Scotland,1029,,2020-05-27T00:00:00
Scotland,1256,,2020-05-27T00:00:00
Scotland,1661,,2020-05-27T00:00:00
Scotland,1957,5,2020-05-27T00:00:00
Scotland,260,,2020-05-27T00:00:00
Scotland,2685,12,2020-05-27T00:00:00
Scotland,323,,2020-05-27T00:00:00
Scotland,337,,2020-05-27T00:00:00
Scotland,3916,9,2020-05-27T00:00:00
Scotland,54,,2020-05-27T00:00:00
Scotland,6,,2020-05-27T00:00:00
Scotland,7,,2020-05-27T00:00:00
Scotland,830,,2020-05-27T00:00:00
Scotland,919,,2020-05-27T00:00:00
Scotland,,,2020-05-27T00:00:00
