country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Lothian,1040,259,28,2020-04-15T00:00:00
Scotland,Greater Glasgow and Clyde,1661,598,71,2020-04-15T00:00:00
Scotland,Highland,180,61,5,2020-04-15T00:00:00
Scotland,Dumfries and Galloway,207,36,6,2020-04-15T00:00:00
Scotland,Borders,215,55,6,2020-04-15T00:00:00
Scotland,Grampian,357,78,15,2020-04-15T00:00:00
Scotland,Forth Valley,380,96,7,2020-04-15T00:00:00
Scotland,Fife,424,105,5,2020-04-15T00:00:00
Scotland,Shetland,45,,,2020-04-15T00:00:00
Scotland,Ayrshire and Arran,457,116,13,2020-04-15T00:00:00
Scotland,Orkney,5,,,2020-04-15T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-15T00:00:00
Scotland,Lanarkshire,873,225,29,2020-04-15T00:00:00
Scotland,Tayside,898,110,6,2020-04-15T00:00:00
Scotland,Golden Jubilee National Hospital,,7,,2020-04-15T00:00:00
