country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Lanarkshire,1176,236,17,2020-04-24T00:00:00
Scotland,Tayside,1199,78,6,2020-04-24T00:00:00
Scotland,Lothian,1684,275,26,2020-04-24T00:00:00
Scotland,Highland,214,55,,2020-04-24T00:00:00
Scotland,Greater Glasgow and Clyde,2311,561,50,2020-04-24T00:00:00
Scotland,Dumfries and Galloway,235,28,,2020-04-24T00:00:00
Scotland,Borders,253,40,5,2020-04-24T00:00:00
Scotland,Shetland,54,,,2020-04-24T00:00:00
Scotland,Orkney,6,,,2020-04-24T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-24T00:00:00
Scotland,Forth Valley,606,83,,2020-04-24T00:00:00
Scotland,Fife,637,136,6,2020-04-24T00:00:00
Scotland,Grampian,638,100,9,2020-04-24T00:00:00
Scotland,Ayrshire and Arran,678,113,7,2020-04-24T00:00:00
Scotland,Golden Jubilee National Hospital,,5,,2020-04-24T00:00:00
