country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Orkney,,,,2020-04-10T00:00:00
Scotland,Greater Glasgow and Clyde,1314,571,65,2020-04-10T00:00:00
Scotland,Highland,144,54,7,2020-04-10T00:00:00
Scotland,Dumfries and Galloway,164,49,8,2020-04-10T00:00:00
Scotland,Borders,177,64,6,2020-04-10T00:00:00
Scotland,Grampian,251,74,13,2020-04-10T00:00:00
Scotland,Forth Valley,302,86,7,2020-04-10T00:00:00
Scotland,Fife,333,131,9,2020-04-10T00:00:00
Scotland,Ayrshire and Arran,364,110,14,2020-04-10T00:00:00
Scotland,Shetland,43,,,2020-04-10T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-10T00:00:00
Scotland,Lanarkshire,662,287,27,2020-04-10T00:00:00
Scotland,Tayside,712,112,8,2020-04-10T00:00:00
Scotland,Lothian,799,277,40,2020-04-10T00:00:00
Scotland,Golden Jubilee National Hospital,,7,,2020-04-10T00:00:00
