country,cases,hospitalized,intensive_care,datetime
Scotland,,,,2020-05-01T00:00:00
Scotland,1379,86,,2020-05-01T00:00:00
Scotland,1400,258,8,2020-05-01T00:00:00
Scotland,2014,310,16,2020-05-01T00:00:00
Scotland,249,24,,2020-05-01T00:00:00
Scotland,259,34,,2020-05-01T00:00:00
Scotland,281,37,,2020-05-01T00:00:00
Scotland,2864,538,44,2020-05-01T00:00:00
Scotland,54,,,2020-05-01T00:00:00
Scotland,6,,,2020-05-01T00:00:00
Scotland,7,,,2020-05-01T00:00:00
Scotland,747,88,6,2020-05-01T00:00:00
Scotland,750,139,6,2020-05-01T00:00:00
Scotland,778,105,6,2020-05-01T00:00:00
Scotland,866,187,13,2020-05-01T00:00:00
