country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Lothian,1172,278,30,2020-04-17T00:00:00
Scotland,Greater Glasgow and Clyde,1794,580,67,2020-04-17T00:00:00
Scotland,Highland,187,62,6,2020-04-17T00:00:00
Scotland,Dumfries and Galloway,209,29,5,2020-04-17T00:00:00
Scotland,Borders,229,56,6,2020-04-17T00:00:00
Scotland,Grampian,394,85,15,2020-04-17T00:00:00
Scotland,Forth Valley,431,80,6,2020-04-17T00:00:00
Scotland,Shetland,45,,,2020-04-17T00:00:00
Scotland,Fife,488,124,6,2020-04-17T00:00:00
Scotland,Orkney,5,,,2020-04-17T00:00:00
Scotland,Ayrshire and Arran,536,119,11,2020-04-17T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-17T00:00:00
Scotland,Lanarkshire,934,261,29,2020-04-17T00:00:00
Scotland,Tayside,979,109,5,2020-04-17T00:00:00
Scotland,Golden Jubilee National Hospital,,9,,2020-04-17T00:00:00
