country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Greater Glasgow and Clyde,1575,594,73,2020-04-14T00:00:00
Scotland,Highland,168,58,4,2020-04-14T00:00:00
Scotland,Dumfries and Galloway,199,40,6,2020-04-14T00:00:00
Scotland,Borders,208,57,6,2020-04-14T00:00:00
Scotland,Grampian,335,86,13,2020-04-14T00:00:00
Scotland,Forth Valley,367,93,5,2020-04-14T00:00:00
Scotland,Fife,397,117,5,2020-04-14T00:00:00
Scotland,Ayrshire and Arran,416,112,13,2020-04-14T00:00:00
Scotland,Shetland,45,,,2020-04-14T00:00:00
Scotland,Orkney,5,,,2020-04-14T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-14T00:00:00
Scotland,Lanarkshire,822,261,27,2020-04-14T00:00:00
Scotland,Tayside,826,109,8,2020-04-14T00:00:00
Scotland,Lothian,989,263,33,2020-04-14T00:00:00
Scotland,Golden Jubilee National Hospital,,7,,2020-04-14T00:00:00
