country,cases,hospitalized,intensive_care,datetime
Scotland,,,,2020-04-25T00:00:00
Scotland,1187,244,18,2020-04-25T00:00:00
Scotland,1224,92,5,2020-04-25T00:00:00
Scotland,1730,287,25,2020-04-25T00:00:00
Scotland,220,52,,2020-04-25T00:00:00
Scotland,237,24,,2020-04-25T00:00:00
Scotland,2428,557,49,2020-04-25T00:00:00
Scotland,258,56,5,2020-04-25T00:00:00
Scotland,54,,,2020-04-25T00:00:00
Scotland,6,,,2020-04-25T00:00:00
Scotland,653,133,6,2020-04-25T00:00:00
Scotland,655,96,6,2020-04-25T00:00:00
Scotland,692,102,7,2020-04-25T00:00:00
Scotland,7,,,2020-04-25T00:00:00
Scotland,700,98,9,2020-04-25T00:00:00
