country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Lothian,1107,284,28,2020-04-16T00:00:00
Scotland,Greater Glasgow and Clyde,1742,606,70,2020-04-16T00:00:00
Scotland,Highland,184,60,6,2020-04-16T00:00:00
Scotland,Dumfries and Galloway,207,31,6,2020-04-16T00:00:00
Scotland,Borders,220,66,6,2020-04-16T00:00:00
Scotland,Grampian,389,86,16,2020-04-16T00:00:00
Scotland,Forth Valley,400,97,5,2020-04-16T00:00:00
Scotland,Fife,446,126,6,2020-04-16T00:00:00
Scotland,Shetland,45,,,2020-04-16T00:00:00
Scotland,Orkney,5,,,2020-04-16T00:00:00
Scotland,Ayrshire and Arran,503,110,13,2020-04-16T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-16T00:00:00
Scotland,Lanarkshire,911,203,30,2020-04-16T00:00:00
Scotland,Tayside,937,118,6,2020-04-16T00:00:00
Scotland,Golden Jubilee National Hospital,,9,,2020-04-16T00:00:00
