country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Orkney,5.0,,,2020-04-11T00:00:00
Scotland,Eileanan Siar (Western Isles),6.0,,,2020-04-11T00:00:00
Scotland,Shetland,43.0,,,2020-04-11T00:00:00
Scotland,Highland,148.0,55,7,2020-04-11T00:00:00
Scotland,Dumfries and Galloway,179.0,61,7,2020-04-11T00:00:00
Scotland,Borders,189.0,62,6,2020-04-11T00:00:00
Scotland,Grampian,261.0,77,13,2020-04-11T00:00:00
Scotland,Forth Valley,324.0,97,7,2020-04-11T00:00:00
Scotland,Fife,356.0,129,10,2020-04-11T00:00:00
Scotland,Ayrshire and Arran,376.0,126,15,2020-04-11T00:00:00
Scotland,Lanarkshire,707.0,257,30,2020-04-11T00:00:00
Scotland,Tayside,753.0,123,8,2020-04-11T00:00:00
Scotland,Lothian,856.0,262,36,2020-04-11T00:00:00
Scotland,Greater Glasgow and Clyde,1387.0,590,69,2020-04-11T00:00:00
Scotland,Golden Jubilee National Hospital,,7,,2020-04-11T00:00:00
