country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Lanarkshire,1051,238,24,2020-04-20T00:00:00
Scotland,Tayside,1071,110,8,2020-04-20T00:00:00
Scotland,Lothian,1399,268,27,2020-04-20T00:00:00
Scotland,Highland,198,58,5,2020-04-20T00:00:00
Scotland,Greater Glasgow and Clyde,2020,603,64,2020-04-20T00:00:00
Scotland,Dumfries and Galloway,231,37,5,2020-04-20T00:00:00
Scotland,Borders,239,55,7,2020-04-20T00:00:00
Scotland,Grampian,490,84,9,2020-04-20T00:00:00
Scotland,Shetland,51,,,2020-04-20T00:00:00
Scotland,Fife,542,120,5,2020-04-20T00:00:00
Scotland,Forth Valley,542,89,,2020-04-20T00:00:00
Scotland,Orkney,6,,,2020-04-20T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-20T00:00:00
Scotland,Ayrshire and Arran,604,129,11,2020-04-20T00:00:00
Scotland,Golden Jubilee National Hospital,,10,,2020-04-20T00:00:00
