country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Lanarkshire,1118,247,22,2020-04-22T00:00:00
Scotland,Tayside,1124,90,7,2020-04-22T00:00:00
Scotland,Lothian,1515,288,29,2020-04-22T00:00:00
Scotland,Highland,211,68,5,2020-04-22T00:00:00
Scotland,Greater Glasgow and Clyde,2174,574,55,2020-04-22T00:00:00
Scotland,Dumfries and Galloway,235,29,,2020-04-22T00:00:00
Scotland,Borders,243,52,7,2020-04-22T00:00:00
Scotland,Shetland,54,,,2020-04-22T00:00:00
Scotland,Grampian,550,91,8,2020-04-22T00:00:00
Scotland,Forth Valley,569,84,,2020-04-22T00:00:00
Scotland,Fife,593,135,7,2020-04-22T00:00:00
Scotland,Orkney,6,,,2020-04-22T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-22T00:00:00
Scotland,Ayrshire and Arran,640,103,8,2020-04-22T00:00:00
Scotland,Golden Jubilee National Hospital,,12,,2020-04-22T00:00:00
