country,cases,hospitalized,intensive_care,datetime
Scotland,,,,2020-05-02T00:00:00
Scotland,1392,86,,2020-05-02T00:00:00
Scotland,1436,247,9,2020-05-02T00:00:00
Scotland,2065,258,15,2020-05-02T00:00:00
Scotland,250,23,,2020-05-02T00:00:00
Scotland,283,36,,2020-05-02T00:00:00
Scotland,288,36,,2020-05-02T00:00:00
Scotland,2939,530,42,2020-05-02T00:00:00
Scotland,54,,,2020-05-02T00:00:00
Scotland,6,,,2020-05-02T00:00:00
Scotland,7,,,2020-05-02T00:00:00
Scotland,757,95,5,2020-05-02T00:00:00
Scotland,768,130,6,2020-05-02T00:00:00
Scotland,793,103,8,2020-05-02T00:00:00
Scotland,889,125,12,2020-05-02T00:00:00
