country,cases,intensive_care,datetime
Scotland,,,2020-05-12T00:00:00
Scotland,1102,11,2020-05-12T00:00:00
Scotland,1505,,2020-05-12T00:00:00
Scotland,1715,9,2020-05-12T00:00:00
Scotland,2397,10,2020-05-12T00:00:00
Scotland,255,,2020-05-12T00:00:00
Scotland,294,,2020-05-12T00:00:00
Scotland,324,,2020-05-12T00:00:00
Scotland,3510,29,2020-05-12T00:00:00
Scotland,54,,2020-05-12T00:00:00
Scotland,6,,2020-05-12T00:00:00
Scotland,7,,2020-05-12T00:00:00
Scotland,813,,2020-05-12T00:00:00
Scotland,856,,2020-05-12T00:00:00
Scotland,925,7,2020-05-12T00:00:00
