country,cases,hospitalized,intensive_care,datetime
Scotland,,,,2020-04-28T00:00:00
Scotland,1273,88,,2020-04-28T00:00:00
Scotland,1297,257,13,2020-04-28T00:00:00
Scotland,1832,263,21,2020-04-28T00:00:00
Scotland,232,61,5,2020-04-28T00:00:00
Scotland,243,25,,2020-04-28T00:00:00
Scotland,2604,542,48,2020-04-28T00:00:00
Scotland,272,49,,2020-04-28T00:00:00
Scotland,54,,,2020-04-28T00:00:00
Scotland,6,,,2020-04-28T00:00:00
Scotland,689,107,5,2020-04-28T00:00:00
Scotland,692,146,6,2020-04-28T00:00:00
Scotland,7,,,2020-04-28T00:00:00
Scotland,738,112,5,2020-04-28T00:00:00
Scotland,782,97,10,2020-04-28T00:00:00
