wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;517;218;735;0.13;0.06;0.19;9;9;0;684;0;0;2026;801;1220;5;t00;2023-10-27
dolnoœl¹skie;40;16;56;0.14;0.06;0.19;0;0;0;40;0;0;111;58;53;0;t02;2023-10-27
kujawsko-pomorskie;30;15;45;0.14;0.07;0.22;0;0;0;52;0;0;115;45;70;0;t04;2023-10-27
lubelskie;46;23;69;0.22;0.11;0.33;0;0;0;58;0;0;143;72;71;0;t06;2023-10-27
lubuskie;17;7;24;0.17;0.07;0.24;0;0;0;13;0;0;40;24;16;0;t08;2023-10-27
³ódzkie;29;10;39;0.12;0.04;0.16;9;9;0;23;0;0;62;40;22;0;t10;2023-10-27
ma³opolskie;30;12;42;0.09;0.04;0.12;0;0;0;63;0;0;112;44;68;0;t12;2023-10-27
mazowieckie;86;27;113;0.16;0.05;0.21;0;0;0;81;0;0;552;123;426;3;t14;2023-10-27
opolskie;5;3;8;0.05;0.03;0.08;0;0;0;5;0;0;29;8;21;0;t16;2023-10-27
podkarpackie;27;5;32;0.13;0.02;0.15;0;0;0;41;0;0;108;49;58;1;t18;2023-10-27
podlaskie;52;29;81;0.44;0.25;0.69;0;0;0;79;0;0;159;85;74;0;t20;2023-10-27
pomorskie;24;13;37;0.10;0.06;0.16;0;0;0;29;0;0;74;38;36;0;t22;2023-10-27
œl¹skie;35;9;44;0.08;0.02;0.10;0;0;0;79;0;0;136;47;88;1;t24;2023-10-27
œwiêtokrzyskie;19;3;22;0.15;0.02;0.18;0;0;0;14;0;0;29;24;5;0;t26;2023-10-27
warmiñsko-mazurskie;17;11;28;0.12;0.08;0.20;0;0;0;31;0;0;72;44;28;0;t28;2023-10-27
wielkopolskie;29;16;45;0.08;0.05;0.13;0;0;0;35;0;0;84;47;37;0;t30;2023-10-27
zachodniopomorskie;27;15;42;0.16;0.09;0.25;0;0;0;40;0;0;109;43;66;0;t32;2023-10-27
