wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;146;12;158;0.04;0.00;0.04;0;0;0;9;0;0;2426;179;2238;9;t00;2022-10-29
dolnoœl¹skie;9;0;9;0.03;0;0.03;0;0;0;0;0;0;92;9;83;0;t02;2022-10-29
kujawsko-pomorskie;8;0;8;0.04;0;0.04;0;0;0;0;0;0;79;11;65;3;t04;2022-10-29
lubelskie;5;1;6;0.02;0.00;0.03;0;0;0;0;0;0;143;7;136;0;t06;2022-10-29
lubuskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;41;4;37;0;t08;2022-10-29
³ódzkie;12;0;12;0.05;0;0.05;0;0;0;1;0;0;112;14;98;0;t10;2022-10-29
ma³opolskie;16;3;19;0.05;0.01;0.06;0;0;0;1;0;0;190;20;170;0;t12;2022-10-29
mazowieckie;23;5;28;0.04;0.01;0.05;0;0;0;1;0;0;530;29;501;0;t14;2022-10-29
opolskie;4;0;4;0.04;0;0.04;0;0;0;0;0;0;57;5;52;0;t16;2022-10-29
podkarpackie;5;0;5;0.02;0;0.02;0;0;0;0;0;0;127;5;122;0;t18;2022-10-29
podlaskie;6;0;6;0.05;0;0.05;0;0;0;0;0;0;46;6;40;0;t20;2022-10-29
pomorskie;9;0;9;0.04;0;0.04;0;0;0;0;0;0;76;9;67;0;t22;2022-10-29
œl¹skie;12;1;13;0.03;0.00;0.03;0;0;0;0;0;0;193;15;177;1;t24;2022-10-29
œwiêtokrzyskie;9;0;9;0.07;0;0.07;0;0;0;0;0;0;78;9;69;0;t26;2022-10-29
warmiñsko-mazurskie;3;0;3;0.02;0;0.02;0;0;0;0;0;0;62;4;58;0;t28;2022-10-29
wielkopolskie;5;2;7;0.01;0.01;0.02;0;0;0;0;0;0;134;7;126;1;t30;2022-10-29
zachodniopomorskie;4;0;4;0.02;0;0.02;0;0;0;6;0;0;57;5;52;0;t32;2022-10-29
